Ortholog group,Average abundance South (standardised and log transformed),Average abundance North (standardised and log transformed),Contribution to variance (%)
photosystem II PsbY protein-08,0,0,0
alkane 1-monooxygenase [EC:1.14.15.3]-30,0,0,0
AmpE protein-30,0,0,0
metal ion transporter; MIT family-08,0,0,0
cytochrome c biogenesis protein CcmG; thiol:disulfide interchange-30,0,0,0
tartrate dehydrogenase/decarboxylase / D-malate dehydrogenase-30,0,0,0
type IV pilus assembly protein PilE-08,0,0,0
putative N6-adenine-specific DNA methylase-01,0,0,0
26S proteasome regulatory subunit N10-30,0,0,0
ribose 5-phosphate isomerase B [EC:5.3.1.6]-30,0,0,0
ribulose-bisphosphate carboxylase large chain [EC:4.1.1.39]-30,0,0,0
death on curing protein-08,0,0,0
minichromosome maintenance protein 9-30,0,0,0
zinc transport system ATP-binding protein [EC:3.6.3.-]-30,0,0,0
protein geranylgeranyltransferase type II [EC:2.5.1.60]-30,0,0,0
ethanolamine-phosphate cytidylyltransferase [EC:2.7.7.14]-08,0,0,0
26S proteasome regulatory subunit T6-08,0,0,0
phosphoribosylamine--glycine ligase / phosphoribosylglycinamide-08,0,0,0
ATP-dependent Clp protease adaptor protein ClpS-01,0,0,0
26S proteasome regulatory subunit N3-08,0,0,0
cobalt/nickel transport system ATP-binding protein-30,0,0,0
Fur family transcriptional regulator; zinc uptake regulator-30,0,0,0
4-methyl-5(b-hydroxyethyl)-thiazole monophosphate biosynthesis-08,0,0,0
TetR/AcrR family transcriptional regulator-01,0,0,0
DNA topoisomerase VI subunit B [EC:5.99.1.3]-30,0,0,0
putative glutamine transport system ATP-binding protein [EC:3.6.3.-]-08,0,0,0
ATP-independent RNA helicase DbpA-01,0,0,0
aminoacylase [EC:3.5.1.14]-08,0,0,0
SCY1-like-30,0,0,0
2-haloacid dehalogenase [EC:3.8.1.2]-30,0,0,0
type I restriction enzyme M protein [EC:2.1.1.72]-01,0.01,0,0
two-component system; NtrC family; sensor histidine kinase PilS-08,0,0,0
tryptophan-rich sensory protein-01,0.01,0.01,0
putative DNA methylase-30,0,0,0
glycerol-3-phosphate cytidylyltransferase [EC:2.7.7.39]-08,0,0,0
ferredoxin--NAD+ reductase [EC:1.18.1.3]-08,0,0,0
sulfite dehydrogenase [EC:1.8.2.1]-08,0,0,0
heme exporter protein B-01,0.01,0,0
S-adenosylhomocysteine/5'-methylthioadenosine nucleosidase-01,0,0,0
dicarboxylate/amino acid:cation (Na+ or H+) symporter; DAACS family-30,0,0,0
sodium transport system permease protein-30,0,0,0
molybdenum cofactor biosynthesis protein C-01,0.01,0,0
lipoprotein-releasing system ATP-binding protein [EC:3.6.3.-]-01,0,0,0
small subunit ribosomal protein S8e-08,0,0,0
Fis family transcriptional regulator; factor for inversion-08,0,0,0
Icc protein-01,0,0,0
N-acetylgalactosamine-6-sulfatase [EC:3.1.6.4]-08,0,0,0
acetyl-/propionyl-CoA carboxylase; biotin carboxylase; biotin-08,0,0,0
tubulin gamma-30,0,0,0
translation initiation factor eIF-3 subunit 9-08,0,0,0
UDP-N-acetyl-D-glucosamine dehydrogenase [EC:1.1.1.-]-08,0,0,0
HIV Tat-specific factor 1-08,0,0,0
protein FAM50-30,0,0,0
iron complex transport system ATP-binding protein [EC:3.6.3.34]-01,0,0,0
allantoicase [EC:3.5.3.4]-01,0.01,0.01,0
flagellar hook-associated protein 1 FlgK-01,0,0,0
large subunit ribosomal protein L44e-08,0,0,0
dethiobiotin synthetase [EC:6.3.3.3]-01,0,0,0
type VI secretion system protein ImpK-08,0,0,0
small multidrug resistance protein; SMR family-08,0.01,0.01,0
two-component system; OmpR family; response regulator TctD-08,0,0,0
psp operon transcriptional activator-30,0,0,0
ubiquitin carboxyl-terminal hydrolase 36/42 [EC:3.1.2.15]-30,0,0,0
MFS transporter; FSR family; fosmidomycin resistance protein-08,0,0,0
arsenate reductase [EC:1.20.4.1]-30,0,0,0
NADH dehydrogenase (ubiquinone) Fe-S protein 2 [EC:1.6.5.3 1.6.99.3]-30,0,0,0
ATP-binding cassette; sub-family E; member 1-30,0,0.01,0
2;4-dihydroxyhept-2-ene-1;7-dioic acid aldolase [EC:4.1.2.-]-30,0,0,0
N-carbamoylsarcosine amidase [EC:3.5.1.59]-08,0,0,0
aspartate dehydrogenase [EC:1.4.1.21]-08,0,0,0
nucleobase:cation symporter-1; NCS1 family-08,0,0,0
arginine N-succinyltransferase [EC:2.3.1.109]-01,0,0,0
nitrogen regulatory protein P-II 1-30,0,0,0
polypeptide N-acetylglucosaminyltransferase [EC:2.4.1.-]-30,0,0,0
CCR4-NOT transcription complex subunit 4 [EC:6.3.2.19]-08,0,0,0
DNA-3-methyladenine glycosylase I [EC:3.2.2.20]-01,0,0,0
dihydroorotate dehydrogenase electron transfer subunit-01,0,0,0
homocysteine S-methyltransferase [EC:2.1.1.10]-01,0.01,0,0
sigma-E factor negative regulatory protein RseA-08,0,0,0
LPS-assembly lipoprotein-08,0,0,0
type II pantothenate kinase [EC:2.7.1.33]-08,0,0,0
15;16-dihydrobiliverdin:ferredoxin oxidoreductase [EC:1.3.7.2]-08,0,0,0
ATP-dependent RNA helicase DDX27 [EC:3.6.1.-]-30,0,0,0
proteasome alpha subunit [EC:3.4.25.1]-08,0,0,0
protocatechuate 3;4-dioxygenase; alpha subunit [EC:1.13.11.3]-08,0,0,0
copper homeostasis protein-08,0,0,0
pre-mRNA-processing factor SLU7-30,0,0,0
minichromosome maintenance protein 7 (cell division control protein-08,0,0,0
two-component system; NtrC family; C4-dicarboxylate transport sensor-01,0,0,0
MFS transporter; DHA1 family; tetracycline resistance protein-30,0,0,0
anaerobic dimethyl sulfoxide reductase subunit C (DMSO reductase-30,0,0,0
histone H2B-30,0,0,0
small subunit ribosomal protein S3Ae-08,0,0,0
erythronolide synthase [EC:2.3.1.94]-30,0,0,0
phospholipase C; delta [EC:3.1.4.11]-08,0,0,0
exosome complex exonuclease RRP6 [EC:3.1.13.-]-08,0,0,0
queuosine biosynthesis protein QueC-30,0,0,0
T-complex protein 1 subunit gamma-30,0,0,0
arginine-tRNA-protein transferase [EC:2.3.2.8]-30,0,0,0
gamma-butyrobetaine dioxygenase [EC:1.14.11.1]-01,0.01,0,0
solute carrier family 25 (mitochondrial carrier; adenine nucleotide-30,0,0,0
transcriptional regulator-30,0,0,0
Cu(I)/Ag(I) efflux system membrane protein CusA-01,0,0,0
chorismate--pyruvate lyase [EC:4.1.3.40]-01,0,0,0
ribosomal large subunit pseudouridine synthase F [EC:5.4.99.12]-30,0,0,0
arylsulfatase G [EC:3.1.6.-]-08,0,0,0
GST-like protein-01,0,0,0
oxaloacetate decarboxylase; gamma subunit [EC:4.1.1.3]-08,0,0,0
cytidine deaminase [EC:3.5.4.5]-01,0,0,0
phosphoribulokinase [EC:2.7.1.19]-30,0,0,0
2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase /-01,0.01,0.01,0
RNA-binding protein PNO1-30,0,0,0
preprotein translocase subunit SecG-30,0,0,0
NADH dehydrogenase (ubiquinone) flavoprotein 1 [EC:1.6.5.3 1.6.99.3]-30,0,0,0
V-type H+-transporting ATPase 16kDa proteolipid subunit-08,0,0,0
chalcone synthase [EC:2.3.1.74]-01,0,0,0
NADH dehydrogenase (ubiquinone) Fe-S protein 1 [EC:1.6.5.3 1.6.99.3]-08,0,0,0
flagellar protein FliS-30,0,0,0
ADP-ribosylglycohydrolase [EC:3.2.-.-]-30,0,0,0
glucose repression mediator protein-30,0,0,0
maltose alpha-D-glucosyltransferase [EC:5.4.99.16]-08,0,0,0
bloom syndrome protein [EC:3.6.1.-]-08,0,0,0
26S proteasome regulatory subunit N3-30,0,0,0
putative dehydrogenase [EC:1.1.-.-]-08,0,0,0
nicastrin-30,0,0,0
putative sigma-54 modulation protein-30,0,0,0
mannose-6-phosphate isomerase [EC:5.3.1.8]-01,0.01,0.01,0
iron complex transport system substrate-binding protein-01,0,0,0
carbonic anhydrase [EC:4.2.1.1]-01,0.01,0,0
alkyldihydroxyacetonephosphate synthase [EC:2.5.1.26]-01,0,0,0
4-nitrophenyl phosphatase [EC:3.1.3.41]-30,0,0,0
2-dehydro-3-deoxygalactonokinase [EC:2.7.1.58]-01,0,0,0
carboxymethylenebutenolidase [EC:3.1.1.45]-30,0,0,0
putative endonuclease-01,0,0,0
two-component system; OmpR family; copper resistance phosphate-08,0,0,0
CysZ protein-30,0,0,0
beta-catenin-like protein 1-30,0,0,0
imidazoleglycerol-phosphate dehydratase / histidinol-phosphatase-08,0,0,0
beta-mannosidase [EC:3.2.1.25]-01,0,0,0
voltage-gated sodium channel-30,0,0,0
CD68 antigen-30,0,0,0
2-C-methyl-D-erythritol 2;4-cyclodiphosphate synthase [EC:4.6.1.12]-30,0,0,0
two-component system; OmpR family; sensor histidine kinase RstB-08,0,0,0
two-component system; OmpR family; response regulator-01,0.01,0.01,0
3-oxoacid CoA-transferase subunit A [EC:2.8.3.5]-01,0,0,0
sorbitol/mannitol transport system permease protein-01,0,0,0
arsenical resistance protein ArsH-30,0,0,0
geranyl-CoA carboxylase alpha subunit [EC:6.4.1.5]-30,0,0,0
adenylate cyclase; class 1 [EC:4.6.1.1]-30,0,0,0
sarcosine dehydrogenase [EC:1.5.99.1]-01,0.01,0.01,0
monovalent cation:H+ antiporter-2; CPA2 family-01,0,0,0
MSHA biogenesis protein MshP-08,0,0,0
trimethylamine-N-oxide reductase (cytochrome c) 2 [EC:1.7.2.3]-01,0.01,0,0
putative chitinase-08,0,0,0
peptide methionine sulfoxide reductase msrA/msrB [EC:1.8.4.11-30,0,0,0
ATP-dependent RNA helicase UAP56/SUB2 [EC:3.6.1.-]-08,0,0,0
adenosylcobyric acid synthase [EC:6.3.5.10]-01,0,0,0
alpha-amylase [EC:3.2.1.1]-30,0,0,0
3-hydroxybutyrate dehydrogenase [EC:1.1.1.30]-30,0,0,0
translation initiation factor eIF-4A 3 [EC:3.6.1.-]-30,0,0,0
selenocysteine-specific elongation factor-30,0,0,0
POU domain transcription factor; class 3-30,0,0,0
cytosine deaminase [EC:3.5.4.1]-30,0,0,0
D-alanyl-D-alanine dipeptidase [EC:3.4.13.-]-30,0,0,0
cyanate lyase [EC:4.2.1.104]-08,0,0,0
DnaJ homolog subfamily A member 5-08,0,0,0
formyl-CoA transferase [EC:2.8.3.16]-30,0,0,0
MFS transporter; CP family; cyanate transporter-30,0,0,0
anaerobic nitric oxide reductase transcription regulator-08,0,0,0
large subunit ribosomal protein L3e-30,0,0,0
cytidine deaminase [EC:3.5.4.5]-30,0,0,0
type VI secretion system protein ImpC-30,0,0,0
transcription elongation regulator 1-30,0,0,0
molybdopterin biosynthesis protein Mog-08,0,0,0
vacuolar protein sorting-associated protein 72-30,0,0,0
creatinase [EC:3.5.3.3]-01,0.01,0.01,0
2-dehydro-3-deoxyphosphogalactonate aldolase [EC:4.1.2.21]-01,0,0,0
flagellum-specific ATP synthase [EC:3.6.3.14]-01,0,0,0
bleomycin hydrolase [EC:3.4.22.40]-08,0,0,0
intracellular septation protein-30,0,0,0
replication factor C subunit 1-30,0,0,0
CCR4-NOT transcription complex subunit 7/8-08,0,0,0
dCMP deaminase [EC:3.5.4.12]-30,0,0,0
linoleoyl-CoA desaturase [EC:1.14.19.3]-08,0,0,0
OmpA-OmpF porin; OOP family-30,0,0,0
alkanal monooxygenase (FMN-linked) [EC:1.14.14.3]-08,0,0,0
phosphatidylinositol glycan; class A [EC:2.4.1.198]-30,0,0,0
dipeptidyl-peptidase III [EC:3.4.14.4]-30,0,0,0
manganese transport protein-30,0,0,0
CDP-4-dehydro-6-deoxyglucose reductase [EC:1.17.1.1]-01,0,0,0
thiol:disulfide interchange protein DsbA-01,0,0,0
hydroxymethylglutaryl-CoA reductase [EC:1.1.1.88]-30,0,0,0
glycylpeptide N-tetradecanoyltransferase [EC:2.3.1.97]-30,0,0,0
exoribonuclease II [EC:3.1.13.1]-30,0,0,0
simple sugar transport system substrate-binding protein-01,0.01,0.01,0
exosome complex component RRP42-08,0,0,0
curli production assembly/transport component CsgG-30,0,0,0
NADH dehydrogenase (ubiquinone) Fe-S protein 1 [EC:1.6.5.3 1.6.99.3]-30,0,0,0
CCR4-NOT transcription complex subunit 7/8-30,0,0,0
glycerol-3-phosphate dehydrogenase (NAD+) [EC:1.1.1.8]-08,0,0,0
adenylate cyclase; class 1 [EC:4.6.1.1]-08,0,0,0
aspartyl-tRNA(Asn)/glutamyl-tRNA (Gln) amidotransferase subunit C-01,0.01,0.01,0
sortase A-08,0,0,0
pre-mRNA-processing factor 40-08,0,0,0
Fur family transcriptional regulator; iron response regulator-30,0,0,0
vesicle-fusing ATPase [EC:3.6.4.6]-30,0,0,0
copper homeostasis protein-01,0,0,0
FKBP-type peptidyl-prolyl cis-trans isomerase SlpA [EC:5.2.1.8]-30,0,0,0
collagen; type I/II/III/V/XI; alpha-08,0,0,0
protein geranylgeranyltransferase type II [EC:2.5.1.60]-08,0,0,0
transposase; IS30 family-08,0,0,0
conserved hypothetical protein-01,0.01,0.01,0
ubiquitin-conjugating enzyme E2 J2 [EC:6.3.2.19]-30,0,0,0
enolase-phosphatase E1 [EC:3.1.3.77]-30,0,0,0
phosphate:Na+ symporter; PNaS family-30,0,0,0
succinylarginine dihydrolase [EC:3.5.3.23]-30,0,0,0
phosphoinositide-3-kinase; regulatory subunit 4; p150 [EC:2.7.11.1]-08,0,0,0
two-component system; OmpR family; sensor histidine kinase CreC-01,0,0,0
two-component system; OmpR family; sensor histidine kinase CpxA-30,0,0,0
mitogen-activated protein kinase [EC:2.7.11.24]-08,0,0,0
exosome complex component RRP41-08,0,0,0
exodeoxyribonuclease VII small subunit [EC:3.1.11.6]-30,0,0,0
heme exporter protein D-08,0,0,0
formyltetrahydrofolate deformylase [EC:3.5.1.10]-01,0,0,0
histone H1/5-30,0,0,0
DNA mismatch repair protein MSH6-08,0,0,0
small subunit ribosomal protein SAe-30,0,0,0
protein kinase; cGMP-dependent [EC:2.7.11.12]-30,0,0,0
small protein A-30,0,0,0
aldose 1-epimerase [EC:5.1.3.3]-01,0,0.01,0
small ubiquitin-related modifier-30,0,0,0
T-complex protein 1 subunit beta-30,0,0,0
heat shock protein 90kDa beta-08,0,0,0
fused [EC:2.7.11.1]-08,0,0,0
collagen; type I/II/III/V/XI; alpha-30,0,0,0
tyrosine-specific transport protein-08,0,0,0
sulfoquinovosyltransferase [EC:2.4.1.-]-08,0,0,0
biotin biosynthesis protein BioH-30,0,0,0
bis(5'-nucleosyl)-tetraphosphatase (symmetrical) [EC:3.6.1.41]-30,0,0,0
nitrile hydratase [EC:4.2.1.84]-30,0,0,0
CRP/FNR family transcriptional regulator; anaerobic regulatory-08,0,0,0
putative hemin transport protein-08,0,0,0
T-complex protein 1 subunit zeta-30,0,0,0
preprotein translocase subunit SecG-01,0.01,0.01,0
tRNA 2-thiouridine synthesizing protein C-08,0,0,0
iron complex transport system permease protein-01,0,0,0
ATP synthase protein I-30,0,0,0
multicomponent K+:H+ antiporter subunit A-30,0,0,0
isoquinoline 1-oxidoreductase; alpha subunit [EC:1.3.99.16]-30,0,0,0
putative protein-disulfide isomerase-01,0,0,0
putative drug exporter of the RND superfamily-30,0,0,0
sodium/potassium-transporting ATPase subunit alpha [EC:3.6.3.9]-08,0,0,0
U4/U6.U5 tri-snRNP-associated protein 2-30,0,0,0
two-component system; OmpR family; sensor histidine kinase KdpD-08,0,0,0
GntR family transcriptional regulator; histidine utilization-30,0,0,0
glucoamylase [EC:3.2.1.3]-30,0,0,0
chorismate mutase [EC:5.4.99.5]-01,0.01,0.01,0
integrator complex subunit 11 [EC:3.1.27.-]-08,0,0,0
alpha-glucosidase [EC:3.2.1.20]-30,0,0,0
AP-4 complex subunit epsilon-1-08,0,0,0
formylmethanofuran dehydrogenase subunit A [EC:1.2.99.5]-08,0,0,0
type IV pilus assembly protein PilA-08,0,0,0
putative permease-01,0,0,0
two-component system; NtrC family; response regulator YfhA-30,0,0,0
prephenate dehydrogenase [EC:1.3.1.12]-01,0.01,0.01,0
subtilisin [EC:3.4.21.62]-30,0,0,0
T-complex protein 1 subunit beta-08,0,0,0
translocation protein SEC63-30,0,0,0
agmatine deiminase [EC:3.5.3.12]-01,0,0,0
D-beta-D-heptose 7-phosphate kinase / D-beta-D-heptose 1-phosphate-01,0,0,0
beta-adrenergic-receptor kinase [EC:2.7.11.15]-30,0,0,0
carboxylesterase type B [EC:3.1.1.1]-30,0,0,0
uridine phosphorylase [EC:2.4.2.3]-01,0,0,0
homoserine kinase type II [EC:2.7.1.39]-30,0,0,0
small subunit ribosomal protein S5e-30,0,0,0
thiopurine S-methyltransferase [EC:2.1.1.67]-30,0,0,0
Fur family transcriptional regulator; zinc uptake regulator-01,0,0,0
xylulokinase [EC:2.7.1.17]-01,0,0,0
AP-3 complex subunit beta-30,0,0,0
nitrogen regulatory protein P-II 2-30,0,0,0
polyphosphate kinase [EC:2.7.4.1]-01,0.01,0,0
penicillin-binding protein 1C [EC:2.4.1.-]-30,0,0,0
penicillin-insensitive murein endopeptidase [EC:3.4.24.-]-30,0,0,0
haloalkane dehalogenase [EC:3.8.1.5]-01,0,0,0
microsomal epoxide hydrolase [EC:3.3.2.9]-30,0,0,0
DeoR family transcriptional regulator; glycerol-3-phosphate regulon-01,0,0,0
RuvB-like protein 2 [EC:3.6.1.-]-08,0,0,0
D-lactate dehydrogenase (cytochrome) [EC:1.1.2.4]-30,0,0,0
adenine deaminase [EC:3.5.4.2]-01,0,0,0
sigma-E factor negative regulatory protein RseB-30,0,0,0
transcription initiation factor TFIIB-30,0,0,0
DnaJ homolog subfamily A member 2-30,0,0,0
small subunit ribosomal protein S2e-30,0,0,0
disulfide bond formation protein DsbB-30,0,0,0
20S proteasome subunit alpha 1 [EC:3.4.25.1]-08,0,0,0
molybdenum cofactor biosynthesis protein E-01,0.01,0.01,0
integration host factor subunit alpha-30,0,0,0
tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation-08,0,0,0
myosin I-08,0,0,0
anaphase-promoting complex subunit 1-30,0,0,0
dCMP deaminase [EC:3.5.4.12]-01,0,0,0
hydroxypyruvate isomerase [EC:5.3.1.22]-30,0,0,0
phosphoheptose isomerase [EC:5.-.-.-]-01,0.01,0.01,0
2-oxoglutarate ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3]-01,0,0,0
geranylgeranyl diphosphate synthase; type II [EC:2.5.1.1 2.5.1.10-30,0,0,0
proteasome component ECM29-08,0,0,0
DNA repair protein RadA-08,0,0,0
MFS transporter; FHS family; L-fucose permease-01,0,0,0
D-ribose pyranase [EC:5.-.-.-]-08,0,0,0
survival motor neuron protein-30,0,0,0
pyruvate dehydrogenase kinase [EC:2.7.11.2]-30,0,0,0
cholesterol oxidase [EC:1.1.3.6]-30,0,0,0
pre-mRNA-processing factor 17-08,0,0,0
UDP-N-acetyl-D-mannosaminuronic acid dehydrogenase [EC:1.1.1.-]-30,0,0,0
acetyl-/propionyl-CoA carboxylase; biotin carboxylase; biotin-30,0,0,0
polar amino acid transport system substrate-binding protein-01,0.01,0.01,0
diphthine synthase [EC:2.1.1.98]-08,0,0,0
tripeptidyl-peptidase I [EC:3.4.14.9]-30,0,0,0
carboxynorspermidine decarboxylase [EC:4.1.1.-]-08,0,0,0
U4/U6 small nuclear ribonucleoprotein PRP4-30,0,0,0
formamidase [EC:3.5.1.49]-30,0,0,0
2-dehydro-3-deoxygalactonokinase [EC:2.7.1.58]-30,0,0,0
hydroxymethylglutaryl-CoA synthase [EC:2.3.3.10]-30,0,0,0
photosystem II PsbE protein-08,0,0,0
endothelin-converting enzyme [EC:3.4.24.71]-08,0,0,0
1;4-dihydroxy-2-naphthoate octaprenyltransferase [EC:2.5.1.-]-30,0,0,0
tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation-30,0,0,0
uroporphyrin-III C-methyltransferase / precorrin-2 dehydrogenase /-30,0,0,0
syntaxin 6-08,0,0,0
anthranilate synthase [EC:4.1.3.27]-08,0,0,0
exonuclease SbcD-30,0,0,0
calnexin-08,0,0,0
two-component system; OmpR family; sensor histidine kinase CpxA-08,0,0,0
calcium/calmodulin-dependent protein kinase I [EC:2.7.11.17]-30,0,0,0
aspartyl-tRNA(Asn)/glutamyl-tRNA (Gln) amidotransferase subunit C-30,0,0,0
minichromosome maintenance protein 3-08,0,0,0
WNK lysine deficient protein kinase [EC:2.7.11.1]-08,0,0,0
chemotaxis protein methyltransferase CheR [EC:2.1.1.80]-30,0,0,0
translation initiation factor eIF-3 subunit 5-30,0,0,0
ribonuclease T [EC:3.1.13.-]-30,0,0,0
thiamine-phosphate pyrophosphorylase [EC:2.5.1.3]-01,0.01,0.01,0
C4-dicarboxylate transporter; DctM subunit-01,0,0,0
gluconate 5-dehydrogenase [EC:1.1.1.69]-30,0,0,0
large subunit ribosomal protein L9e-08,0,0,0
bifunctional enzyme CysN/CysC [EC:2.7.7.4 2.7.1.25]-30,0,0,0
pyrimidine operon attenuation protein / uracil-01,0,0,0
PhoH-like ATPase-01,0,0,0
protein mago nashi-08,0,0,0
translation initiation factor eIF-3 subunit 2-08,0,0,0
excinuclease Cho [EC:3.1.25.-]-08,0,0,0
small multidrug resistance protein; SMR family-30,0,0,0
arsenite transporter; ACR3 family-30,0,0,0
kinesin family member 18/19-08,0,0,0
bifunctional aspartokinase/homoserine dehydrogenase 2 [EC:2.7.2.4-30,0,0,0
splicing factor U2AF 35 kDa subunit-08,0,0,0
ubiquitin-like 1-activating enzyme E1 B [EC:6.3.2.19]-30,0,0,0
UDP-N-acetylglucosamine-lysosomal-enzyme [EC:2.7.8.17]-08,0,0,0
U5 snRNP protein; DIM1 family-08,0,0,0
choline-sulfatase [EC:3.1.6.6]-30,0,0,0
adenosylcobinamide-phosphate synthase CobD [EC:6.3.1.10]-01,0,0,0
phosphatidylinositol 3-kinase [EC:2.7.1.137]-30,0,0,0
pyruvate carboxylase subunit B [EC:6.4.1.1]-30,0,0,0
putative multiple sugar transport system ATP-binding protein-08,0,0,0
T-complex protein 1 subunit eta-30,0,0,0
myo-inositol-1-phosphate synthase [EC:5.5.1.4]-30,0,0,0
chromosome transmission fidelity protein 4-08,0,0,0
NADH dehydrogenase I subunit J [EC:1.6.5.3]-30,0,0,0
ATP-binding cassette; subfamily C (CFTR/MRP); member 2-08,0,0,0
periplasmic glucans biosynthesis protein-08,0,0,0
choloylglycine hydrolase [EC:3.5.1.24]-08,0,0,0
small ubiquitin-related modifier-08,0,0,0
DNA mismatch repair protein MSH2-30,0,0,0
thymidine phosphorylase [EC:2.4.2.4]-01,0,0,0
putative spermidine/putrescine transport system substrate-binding-01,0.01,0.01,0
MFS transporter; DHA2 family; methyl viologen resistance protein-08,0,0,0
UDP-N-acetylglucosamine 2-epimerase [EC:5.1.3.14]-01,0.01,0,0
X-Pro dipeptidyl-peptidase [EC:3.4.14.11]-08,0,0,0
ADP-ribose diphosphatase [EC:3.6.1.-]-01,0,0,0
N utilization substance protein B-01,0.01,0.01,0
alpha;alpha-trehalase [EC:3.2.1.28]-08,0,0,0
preprotein translocase subunit YajC-30,0,0,0
allophanate hydrolase [EC:3.5.1.54]-08,0,0,0
peptidyl-prolyl cis-trans isomerase B (cyclophilin B) [EC:5.2.1.8]-01,0.01,0,0
DamX protein-08,0,0,0
26S proteasome regulatory subunit N5-30,0,0,0
fructokinase [EC:2.7.1.4]-01,0.01,0.01,0
beta-carotene ketolase (CrtW type)-08,0,0,0
photosystem II PsbA protein-01,0,0,0
flagellar assembly protein FliH-30,0,0,0
spore photoproduct lyase [EC:4.1.99.-]-08,0,0,0
inositol hexakisphosphate/diphosphoinositol-pentakisphosphate kinase-30,0,0,0
3-(3-hydroxy-phenyl)propionate hydroxylase [EC:1.14.13.-]-01,0,0,0
replication factor C small subunit-30,0,0,0
succinyl-CoA synthetase alpha subunit [EC:6.2.1.4 6.2.1.5]-30,0,0,0
methylglutaconyl-CoA hydratase [EC:4.2.1.18]-30,0,0,0
DNA-directed RNA polymerase I subunit A2 [EC:2.7.7.6]-08,0,0,0
xanthine dehydrogenase accessory factor-01,0,0,0
aldehyde:ferredoxin oxidoreductase [EC:1.2.7.5]-08,0,0,0
ATP-dependent RNA helicase DDX18 [EC:3.6.1.-]-30,0,0,0
manganese/iron transport system ATP-binding protein-30,0,0,0
AP-2 complex subunit alpha-08,0,0,0
small subunit ribosomal protein S18e-08,0,0,0
pre-mRNA-splicing factor SYF1-08,0,0,0
small subunit ribosomal protein S19e-08,0,0,0
C4-dicarboxylate transporter; DcuC family-08,0,0,0
PhnP protein-30,0,0,0
ATP-dependent RNA helicase DDX5/DBP2 [EC:3.6.1.-]-08,0,0,0
